db1.tbl3_batch.col1,db1.tbl3_batch.col2,db1.tbl3_batch.col3,db1.tbl3_batch.col4
801,1738,1064,3326
204,1913,1216,9380
730,353,1015,2087
839,732,1603,5726
430,650,823,8152
255,98,587,6237
247,402,1132,4724
532,1326,326,10170
40,1668,404,1411
458,790,873,3682
789,753,627,2663
276,1927,552,3637
923,111,614,7027
194,1517,1528,1336
70,1913,270,4379
269,706,1390,9025
334,39,1982,7232
584,993,1559,2172
307,1858,289,5305
426,470,1204,10088
198,278,876,4540
75,253,180,3437
786,824,1532,2422
794,565,1349,10458
657,1673,679,6884
524,1957,1108,1768
874,1538,383,7788
640,1838,1987,5946
229,1534,419,4743
84,1988,1932,8534
161,305,1565,2519
396,536,1135,6011
876,205,1208,2144
370,1402,1070,9501
562,1574,1551,2938
214,212,309,8601
0,752,271,3096
982,937,1225,4617
376,161,766,937
411,976,1674,8642
634,725,504,10593
799,1583,435,8538
199,1658,916,7070
182,752,1856,2686
409,562,1827,7430
397,894,1111,6368
215,1806,1119,8091
751,1221,1024,9730
348,1401,166,4445
579,312,1616,10263
830,680,476,10151
593,581,261,7415
653,244,1538,6531
922,560,1099,5431
40,108,182,6226
750,1872,962,10586
2,1123,1567,3562
93,1475,1937,5772
58,42,1907,2743
739,77,825,7351
406,673,700,5227
17,727,1338,7824
493,901,888,1905
750,1191,338,1971
871,282,1359,3120
507,524,1263,2746
585,1506,658,4787
887,890,1578,8760
331,1683,1118,7224
168,1174,1537,9003
775,882,312,6178
671,1229,1975,5856
848,1649,1807,5138
680,1202,1233,4822
940,1863,1147,10517
205,1149,1588,7357
868,1306,139,3452
520,1120,516,2121
504,845,1092,5446
345,1082,1056,6043
303,1903,1512,1110
114,196,1914,7459
663,1702,451,8969
86,1107,1717,2813
94,214,1549,8259
742,127,1845,4913
427,403,1052,10068
697,830,713,2265
449,1415,217,9963
625,201,16,9677
785,1593,1348,1526
975,680,1988,10897
540,1491,424,6977
714,1712,1227,5618
1,386,777,2934
77,1826,207,4586
323,1815,585,4849
742,153,1962,6651
97,218,668,5446
628,19,552,3795
109,1131,402,7715
678,366,1857,2896
456,801,917,1796
487,1742,1306,8496
808,480,1375,5447
966,744,1466,2480
370,507,257,1781
336,1088,594,8060
889,820,1102,5056
598,946,559,1620
970,1271,1813,3728
21,413,24,9325
721,880,300,5529
304,816,1160,10054
923,1920,1673,9756
271,1260,45,7004
489,1823,261,5396
835,656,841,4060
445,53,689,1459
931,1530,1364,7699
277,1947,366,5735
650,1628,378,2671
852,1945,914,3528
376,1808,42,10108
231,169,1969,3337
744,1703,38,9719
591,150,1134,9453
425,1070,1023,3009
54,1389,68,4996
968,801,295,2245
802,945,962,3845
440,1184,330,7810
33,1629,1327,5893
328,1361,1573,4110
844,1187,1466,7901
453,503,1709,8822
387,869,832,8854
763,602,1773,4244
429,493,489,6201
475,508,389,10091
124,294,1392,5460
522,864,1717,4644
481,1873,567,3441
316,769,444,8213
121,122,1211,2590
546,419,1649,7597
580,1572,1358,4648
312,1889,62,5755
486,1162,1721,10268
650,771,1237,5030
11,1596,874,9315
124,1859,987,9384
810,822,1026,3355
658,1777,120,8323
76,1061,1364,3725
579,644,713,2393
717,241,454,4624
235,302,1619,3966
570,963,68,8255
769,139,1467,9042
253,745,1558,6122
903,60,1342,9176
405,1879,152,498
242,1837,543,8428
460,1412,1571,802
276,1385,313,7216
468,96,880,2876
219,136,1029,9500
224,546,1062,847
924,629,260,1791
100,464,75,3572
853,1986,413,1023
633,725,456,10607
729,1700,1622,9498
506,1581,1395,8765
586,1942,1068,2101
330,1639,596,8522
236,645,619,2434
993,661,757,1894
338,720,637,6241
751,937,498,8506
505,1673,1019,9491
164,673,1736,2230
845,1034,205,9407
668,1582,757,3206
722,117,1934,4629
932,1687,1607,7892
788,136,1198,3384
727,1504,18,10607
217,1959,174,3538
744,1948,945,10074
375,140,757,8095
11,92,1967,2632
431,559,1456,9788
82,1340,924,9782
430,855,1305,4271
624,1292,1348,5182
477,1474,1030,5395
782,1126,820,9497
706,1597,528,5045
368,250,1788,606
652,540,1652,1872
954,1403,1167,1722
968,667,1096,9394
635,1856,1116,6965
140,335,424,7528
719,946,629,5311
626,717,1436,10337
717,961,1960,8334
455,898,138,8537
501,541,56,8080
402,434,383,9529
952,1759,1671,10412
287,715,750,6743
354,291,1358,9364
342,824,1072,4459
148,833,332,2587
209,531,1983,9489
111,1769,1756,6197
653,2,1717,5477
975,39,58,10940
535,643,1530,8926
48,842,1145,8417
799,95,1882,6341
330,897,1085,9452
364,904,347,2400
10,1505,316,9687
187,1071,1432,2278
508,1224,249,6058
579,1391,1452,4842
444,1503,1337,6874
89,1378,484,2473
621,43,1564,6947
900,1115,1288,9107
675,1925,924,8338
992,1423,726,10020
447,1812,1599,8168
717,489,1508,2874
31,1597,937,9799
326,1468,1292,631
73,527,1543,7196
250,1848,1063,2303
449,385,1629,6261
905,649,299,4249
354,1359,592,4810
532,1201,395,1740
295,790,657,2153
297,1392,383,3000
327,504,238,2298
301,1986,1245,1414
511,989,684,1494
337,1401,1645,2464
584,867,902,4223
373,998,1460,7849
552,387,1503,1112
93,837,1363,6745
131,203,160,4518
610,768,1700,3542
909,1093,892,9391
909,1698,1614,2818
52,1143,1837,7282
495,901,1240,1923
228,1722,1527,1175
639,1948,454,1987
211,229,1937,8783
796,330,1205,10692
790,1573,687,1099
503,1675,298,3917
494,1114,479,6283
852,1474,364,10542
670,350,1678,7238
863,780,1904,9715
232,458,1722,3679
70,949,1994,2343
716,1327,500,10405
188,165,1438,2330
662,113,1456,10459
7,1951,1718,4746
331,1258,1465,9954
611,1231,708,1069
15,137,338,7595
665,1596,1564,1002
668,682,1473,6118
92,938,1688,7472
261,210,854,4281
548,1645,993,9084
160,1732,1214,5803
350,1586,1684,1292
173,1923,1781,518
316,1491,1701,4210
936,1738,287,9452
17,913,1178,6627
485,1745,887,2623
366,276,939,4755
350,1448,570,9065
527,1000,1205,8353
871,1874,832,8687
434,1283,192,692
932,1995,405,2042
269,942,720,7594
870,653,1457,7357
67,1135,1952,887
29,1066,206,6017
315,1141,531,5950
820,642,1179,5484
736,1117,12,7829
163,804,944,4767
925,1827,1461,2488
319,1991,875,6662
13,1173,659,9412
278,295,985,8778
431,639,339,2270
667,1167,941,8342
633,518,975,8634
262,1262,951,9837
681,1204,1238,2987
521,1534,1096,9893
963,211,1828,6103
171,1774,1246,2857
357,1287,1230,1317
12,1757,365,8641
724,1766,1332,1179
672,944,1808,7439
231,1373,924,4048
475,1546,1121,10236
470,363,569,9765
159,275,49,9969
638,905,927,2150
559,484,1107,5297
260,1661,1831,651
572,235,55,3193
633,1930,109,6809
601,1116,861,9713
358,649,38,6077
254,1443,636,6295
601,100,1817,4201
514,1246,1361,5724
279,382,1879,4787
116,1494,789,6558
609,1398,10,8263
161,1213,452,10141
851,1289,1447,7067
886,1943,1378,8771
989,1851,1469,1249
297,1088,1270,7130
915,1513,824,10442
296,180,183,6240
593,789,1932,6727
357,529,1394,7232
659,1936,1422,7487
517,1998,830,851
377,1548,848,8046
696,39,659,3475
425,980,1105,9420
763,200,446,8091
536,1061,1234,2973
552,760,226,3359
168,911,1462,5358
514,186,344,9646
363,487,1932,3526
682,1252,1413,9776
429,1016,187,7917
568,1630,309,10028
82,1095,1816,105
329,1210,485,4981
690,119,219,3438
132,1474,1435,2582
597,757,737,10185
456,607,1020,8551
352,246,71,3709
782,5,1229,8877
343,905,386,8426
93,1099,1200,6065
381,348,1278,10330
867,307,1368,9022
761,286,765,7830
294,1619,1510,5632
197,387,524,2729
78,937,1649,5415
677,499,716,4450
550,931,480,7015
819,1996,1296,5480
213,1351,1754,2270
642,1709,327,1319
668,1497,1134,3642
988,1958,1252,9464
893,1496,1724,6541
158,1025,757,6602
833,912,1309,2673
738,607,497,2616
556,1117,1361,6845
200,605,660,10002
21,848,935,7240
338,142,1224,3652
241,1387,478,1619
740,383,1715,6080
905,1848,307,10812
237,1390,1024,689
148,1866,1121,8681
784,1823,1806,1176
578,1260,973,6049
6,903,71,1275
232,1291,1344,8369
868,1065,1725,3918
803,614,1706,8083
767,1504,415,9929
578,1748,1876,5372
761,1591,389,8171
76,613,1956,241
488,498,821,8934
925,1968,226,9418
86,855,816,6449
763,1473,1086,8842
966,870,667,5996
221,1170,183,1726
412,1573,1142,9860
583,1267,1603,7992
201,176,1322,4541
928,1292,307,1137
570,976,1128,4363
275,699,1517,4796
220,251,1378,3267
156,1719,795,1136
180,209,815,2299
724,446,459,4469
128,1743,369,305
242,1515,922,1788
929,911,183,9419
171,471,1398,3737
502,536,1534,776
479,1273,919,3474
876,1001,1096,928
269,1983,1383,8044
420,1858,151,10035
162,1977,1306,1789
954,270,1186,6997
23,1716,1579,7846
496,161,350,9176
192,139,1494,8800
877,1711,182,9989
389,1269,1624,1942
496,1922,1401,9353
963,851,1456,3432
805,1492,445,2279
128,293,1788,6605
552,877,947,889
542,1048,788,7533
35,889,1924,8495
456,874,1135,1543
360,470,1987,1653
764,660,738,9612
949,1686,191,6913
876,1265,137,3704
214,1008,1735,6686
286,572,191,4259
767,1260,1716,7428
924,55,442,5881
368,1884,1220,6932
468,751,1537,1804
898,1723,818,2565
185,107,843,2010
473,716,890,1685
60,959,1468,2828
261,731,1913,6037
787,614,1758,1231
110,1518,673,9699
828,1587,856,5209
941,1462,277,4617
140,110,384,2450
744,1214,1513,4784
534,404,1358,7619
78,677,610,1905
493,701,1710,6778
30,601,1676,3249
515,848,495,6074
508,773,162,7279
970,1262,71,5658
629,1845,1532,5140
65,1776,414,2137
509,674,1083,7279
911,981,569,7239
370,1240,1953,2700
286,1028,985,971
175,709,570,5133
122,145,1411,806
230,525,1485,8762
554,383,555,1287
3,18,574,1499
701,1003,418,10024
815,1938,1939,6265
411,1951,121,5046
249,1895,1943,1981
655,144,1350,7182
486,1088,354,7211
344,1164,1989,6647
893,397,1956,8924
332,1774,1859,1751
452,1743,731,5162
157,1411,428,8836
576,1887,236,2017
836,770,757,3226
269,1806,170,1653
586,1510,1580,2742
417,582,1527,4813
439,102,1001,1830
28,975,797,7450
977,657,881,6412
334,732,422,5134
237,170,1405,3379
152,452,349,420
605,1657,493,4522
748,1116,918,10464
833,1641,1169,9502
114,1913,607,4385
807,1225,1235,1045
730,375,1914,9531
757,1129,1674,7759
398,1119,1411,8166
31,848,808,5914
531,415,725,6316
52,1314,1557,5145
717,1903,758,7155
730,762,1001,6904
194,1339,75,9540
304,224,1553,10247
706,1256,840,6151
972,1106,124,4310
344,1070,883,2677
81,29,280,4467
0,1271,367,4581
166,1609,717,6864
316,1517,1337,8675
182,638,1960,3724
964,1378,115,6850
897,1801,98,8951
861,1620,404,7775
272,902,502,7785
668,893,1599,8937
372,120,809,1480
361,1018,1354,9444
899,1778,1553,5655
200,186,1881,1424
191,952,1387,7719
340,238,303,9096
298,1723,1356,3157
505,1781,641,8998
587,1946,282,8887
139,1286,702,2551
305,1965,574,2952
195,11,140,3533
60,16,1086,5864
987,375,1827,8218
968,1860,89,5491
359,795,629,4172
306,75,1636,3951
479,399,1805,3896
332,1203,1147,343
865,796,194,7474
82,1454,1965,3227
333,460,617,1207
516,164,26,7819
730,284,1683,1613
923,830,1187,5573
765,223,783,8475
473,949,1891,7270
393,1810,470,5832
599,1450,829,7607
720,1891,533,10491
691,1390,931,9235
719,1010,1938,8881
784,1139,238,10482
576,147,1032,4063
379,1073,1873,7916
20,1878,637,2410
949,277,1977,4979
878,1323,1825,8370
176,648,617,3614
362,579,1170,2745
21,1182,383,3388
836,1876,1212,7003
959,1630,1204,2424
547,186,1907,2698
249,193,315,3732
660,143,15,1233
951,244,926,1725
72,128,906,7102
90,3,1350,4428
175,305,907,8196
125,1248,1994,4055
203,320,558,5163
913,710,1409,3133
245,1795,1131,1684
610,1994,1319,6856
270,1354,492,7694
43,194,489,8948
733,181,961,7433
940,1921,1339,9707
608,1619,1701,6947
547,1119,1404,5631
167,297,807,5677
434,1015,1384,503
29,302,420,9138
793,1260,1557,9727
596,753,362,7324
356,335,161,4506
490,1624,1345,3023
632,1096,587,8042
798,521,1887,10366
247,1711,787,8848
695,577,320,3702
252,1699,1431,8395
956,1694,568,7826
784,1308,526,5918
720,1179,1363,4962
865,279,916,6474
381,845,1892,10252
535,1933,673,8313
633,331,1173,10539
736,1708,1443,1933
899,638,847,3236
904,439,728,8990
897,940,163,4090
418,293,194,8636
122,1900,122,5342
293,964,1475,3266
684,1778,1485,7215
142,709,395,3307
937,1004,1622,2027
898,1734,1581,9339
510,1579,1424,651
926,494,555,1192
947,108,1818,8666
680,615,767,4990
56,846,42,8736
41,1310,1378,8728
820,82,1133,1299
630,799,935,3320
120,1747,290,6119
823,1820,325,5759
762,1630,1813,3189
342,836,507,9377
331,71,1270,8395
455,939,1878,3670
436,1958,565,6417
340,1948,53,4251
340,610,1555,4417
415,192,1918,2764
848,1134,128,1497
181,1948,851,5717
676,28,1135,3532
983,130,187,6561
263,1498,1387,1988
209,1644,275,8325
522,1795,242,1876
181,986,684,1474
443,1932,187,3701
250,1499,51,2963
137,876,1877,8732
217,1991,1223,4249
750,1775,626,2296
453,298,1100,3059
882,1043,439,3707
848,1574,434,5054
86,438,1997,9090
809,1065,410,4183
292,609,426,9413
91,901,941,7731
207,1392,1961,7141
203,1890,1255,6281
185,51,1909,3508
84,262,266,8450
826,1347,1944,7931
663,1893,1901,2026
155,1586,1652,9384
292,1844,599,7781
532,1292,600,8483
160,1589,1976,3171
385,259,1098,2475
484,6,365,9136
502,1371,1461,650
850,790,1521,5283
155,366,312,5253
142,1077,1564,1275
768,1187,781,1121
618,797,347,9917
283,719,1773,2396
561,1116,684,8116
34,1240,946,6044
223,506,1582,3908
667,1269,243,3873
392,1343,1110,1501
407,1542,1301,8825
702,1008,1192,9906
387,1464,390,3493
695,1329,741,4631
748,512,1771,10406
296,929,1539,8757
322,426,501,4128
815,1536,70,7364
853,456,188,10576
487,1788,919,8982
569,755,1658,5717
38,1567,1869,1970
504,1179,507,2544
502,1378,558,8436
752,1054,259,9085
536,1574,303,7325
315,1062,1512,6090
495,1693,1301,9495
116,107,267,1063
341,1553,1113,1106
881,1478,252,8053
239,441,1881,5254
686,1772,389,9816
993,1735,1687,3489
444,1124,1937,4006
851,1380,1565,2113
739,32,1993,7132
996,1653,861,6046
486,904,1269,5896
764,1782,1564,1306
410,1725,1140,7074
891,1715,1510,8614
622,1973,273,3403
752,1706,1745,3364
735,1444,1209,1934
297,1978,1630,7329
51,579,890,6374
732,880,1121,5420
303,1473,1195,5089
287,1449,1048,3968
663,1108,1590,5892
898,1886,1933,4393
117,223,219,8973
922,432,264,7000
968,1685,415,4130
423,196,1577,1839
790,1466,1353,3898
646,889,1806,9354
208,122,1902,9249
126,777,347,7955
292,34,1541,1199
518,1317,588,9025
221,1090,903,7794
76,339,174,9775
337,596,450,10047
862,1878,1039,2796
789,1519,8,6740
845,1356,1016,5189
849,838,1637,8275
738,1813,1431,10731
912,0,265,7246
274,1645,1735,2896
862,305,11,9910
806,1723,1689,6371
116,1869,936,1641
291,1814,170,1707
270,1450,1048,2064
446,1164,1578,3166
156,657,1338,6982
571,1464,1115,7366
183,1178,1695,3859
423,231,991,5499
655,480,1091,7024
672,993,322,9216
600,1541,1999,10219
15,1510,605,5841
925,1732,1560,3117
760,849,366,10729
97,1993,812,3633
961,1854,587,8260
615,1137,1134,9923
299,1738,1170,2619
746,1332,537,8617
421,373,556,954
306,232,704,9715
955,886,725,6306
273,1525,1298,2252
260,438,1755,2336
238,698,1312,8961
935,890,691,5170
773,1200,1060,7014
331,1633,126,4445
114,591,293,2698
267,1366,1019,10007
11,527,539,1499
72,684,1581,3731
873,1462,213,7275
405,1767,84,8452
816,64,1669,1043
177,63,1366,4648
975,918,1375,6217
771,490,1681,8394
945,1248,1940,5297
258,918,1882,5186
399,1489,1111,7714
269,679,434,967
831,1073,1455,1268
631,645,1370,6450
680,108,1848,6860
485,1113,295,10361
579,1612,1200,2732
58,100,1781,6096
641,1424,27,6649
886,1560,57,7261
265,133,1354,5401
74,549,901,5352
998,1677,833,1957
89,1526,1908,8558
504,1687,1554,4724
356,1264,1907,4112
153,1772,1058,7740
899,152,428,10434
217,1149,490,4987
485,1935,1761,9391
539,1942,722,10236
129,1205,1522,4050
65,1065,1938,2779
143,1871,1771,1490
379,1425,1569,5387
312,44,1669,6397
406,1093,1887,8575
406,1514,550,5274
972,1033,541,4932
276,955,599,10220
614,1352,478,3119
408,190,1191,5504
313,1160,153,7688
548,271,142,2285
248,1843,1092,1356
944,787,78,3623
460,1793,1628,1497
398,937,1644,6158
667,1118,616,9770
450,1519,190,2546
470,520,989,828
643,1634,484,6596
558,1932,1187,1634
433,1291,548,7669
955,72,307,6626
445,1781,1847,6260
706,1638,1831,6470
102,1876,1174,5076
327,178,196,3854
682,798,1457,2984
600,1206,208,10396
245,664,1036,1320
57,731,1129,4105
104,1730,697,432
691,1610,885,4168
971,324,978,8095
68,955,1490,1070
992,1341,143,9760
301,1384,323,8819
152,1515,950,6538
536,269,944,10255
888,1635,1542,3709
34,304,1167,9691
956,231,1714,3336
14,1755,1615,8700
105,1577,1296,9435
729,972,1030,3145
895,545,547,10443
73,1943,913,9418
855,284,1149,4104
930,1872,685,3072
284,1561,1406,3672
549,1505,1307,9865
196,1189,1212,5511
279,1625,687,9272
786,1207,1894,993
685,1351,178,9349
816,1759,1749,2454
555,904,1644,5682
968,190,1223,9295
665,1058,378,5021
152,236,615,9514
290,0,1754,8939
931,966,171,6955
141,1146,842,7746
767,1952,689,2203
311,164,1722,6686
645,1762,1455,9343
31,223,2,6278
25,1469,610,8662
910,446,1391,3691
254,414,1118,697
944,1047,1651,1061
734,1073,1525,10466
55,1358,1102,621
292,270,561,3894
636,1799,1614,2572
229,558,972,4412
52,983,1511,7978
953,1951,1279,10797
100,752,780,4671
466,1469,78,6267
845,888,1372,5235
803,501,1990,5618
868,1727,764,6368
266,13,391,5668
794,385,1232,7781
1,1624,1591,4782
21,339,596,2707
577,1045,290,1780
211,305,633,5267
235,938,1296,7292
879,502,129,9476
528,1958,1505,6241
387,592,998,5570
13,1683,447,4227
518,1640,1188,4597
846,708,1449,1158
221,264,1898,8575
911,831,1749,2439
615,1462,156,6111
961,877,1632,10718
402,960,894,5170
512,215,1155,8079
286,1105,1306,684
383,1567,160,7013
246,1128,1462,1293
899,1605,317,2841
90,1622,1905,329
825,1079,624,7289
311,1041,693,982
436,228,170,3055
984,425,976,8903
725,918,1205,3186
42,761,865,8635
73,1858,70,2179
753,1641,1798,4901
992,469,1529,2079
560,493,1840,7336
879,362,1820,10213
875,1869,520,5256
315,1867,1321,5439
733,690,1221,8292
861,1434,1957,1002
143,1717,240,539
328,1407,1454,5465
208,981,1854,7489
98,1851,610,1653
699,988,1557,7753
113,125,1436,6007
174,553,609,1202
270,1181,111,5321
62,121,272,732
795,470,984,5389
403,1463,1301,2258
224,1910,1938,3653
958,1505,1826,6234
160,896,819,7146
35,709,1956,9915
380,896,218,4811
652,1551,491,1221
317,1077,1703,6773
707,987,64,1853
662,1727,170,9718
455,1722,534,6969
268,692,1350,5168
343,1185,813,370
39,1229,589,5388
749,607,658,1778
413,433,124,7029
379,651,1861,2375
221,872,1363,1562
280,750,500,9720
224,210,1937,2311
456,1120,1302,9328
153,460,390,527
279,26,793,3324
352,547,620,6627
38,1242,184,5987
728,1153,1590,1533
755,847,598,7107
620,1743,1357,7090
974,1570,78,7620
572,412,545,850
488,680,1686,1893
944,1337,31,9923
936,1066,1926,8086
197,1596,269,1529
275,517,1126,8340
171,1113,225,3318
783,916,125,8775
507,1120,73,3956
404,1705,1842,836
270,55,719,8296
934,1550,573,1943
553,1744,1855,7832
700,497,1465,5891
771,1315,113,9279
663,1294,1624,5970
130,1813,1535,4346
625,992,714,1990
384,100,175,7180
733,1189,40,9860
396,1447,365,3914
565,656,727,3333
849,1153,1375,1344
295,983,1672,3887
382,1296,116,2614
511,1117,167,8559
394,1364,660,3329
553,924,151,7272
604,912,273,5049
259,1747,100,2626
280,1552,72,6835
355,156,734,1260
419,1018,1427,8587
191,558,106,8091
636,1228,1102,5233
427,987,996,8080
807,857,1971,5816
347,1177,153,7582
428,1456,337,10135
391,1154,449,7599
340,272,1952,8298
546,1719,830,5834
939,1072,566,8752
401,1735,1331,6537
46,1653,1798,8349
664,867,911,7270
749,821,1853,10613
424,1560,1289,2726
516,143,441,10358
959,486,859,8284
957,147,1359,5352
636,1357,810,4631
878,1357,198,9376
327,1144,300,8639
86,962,1459,7855
514,1945,458,9983
164,619,1309,1591
222,729,555,5835
860,1613,1751,3962
296,747,281,9673
915,1839,995,2370
450,745,1480,9821
342,1228,790,1688
935,303,1403,9755
340,1299,1722,1554
460,1206,1291,2421
391,1535,1635,3386
900,1362,673,5512
536,237,1157,10275
550,1379,277,6240
420,179,122,3278
380,1396,1074,1141
616,1583,1042,6074
4,1178,564,8051
647,815,646,5549
3,522,142,8108
680,377,580,2176
315,1316,1032,9750
821,92,1989,5403
917,404,839,2960
77,1290,421,3453
530,471,892,9238
716,1549,1526,1550
354,1675,1829,977
835,1261,545,1882
32,633,1936,1596
661,957,1758,4643
704,779,870,6144
138,1420,865,634
271,213,1144,813
195,196,18,1110
126,1104,329,1927
348,391,636,429
742,1470,1464,1921
43,840,1025,8400
741,1674,635,2812
727,1545,468,9725
243,1031,803,7273
8,459,252,339
761,1461,1777,7906
711,1684,235,10437
845,678,1043,7824
78,134,904,8450
756,1445,1317,10264
189,1579,85,6301
85,1398,1469,9383
484,1680,1074,2073
270,919,1586,2756
773,711,1940,6607
512,1876,56,3102
19,800,1466,8698
488,731,824,9291
931,1995,1839,4351
129,1609,109,5337
837,1961,543,10426
769,24,842,7983
642,56,179,2098
6,342,476,9535
851,454,1255,5348
752,257,529,3619
703,228,1249,5286
936,434,881,6190
309,401,621,6654
808,583,1916,7379
626,308,905,7709
900,176,138,6198
472,1241,1187,550
101,524,1831,5753
337,1065,914,714
318,861,1298,482
512,1274,1333,8479
24,139,791,9936
720,1016,1927,6661
429,111,4,8775
142,1205,1036,1288
708,1282,89,9963
656,697,1273,2872
148,897,970,5597
692,593,588,2155
54,971,1281,3524
470,1926,281,1986
362,1227,15,4785
649,253,1211,2175
208,782,996,996
184,1482,1353,6704
64,1192,1716,7485
548,654,1385,7125
111,1798,1063,2659
262,1378,254,7514
75,1763,1876,4683
295,899,10,9002
177,956,420,6817
765,1876,495,7510
0,1008,218,3062
147,460,662,5428
875,989,188,5637
670,615,335,10429
835,873,1432,10475
985,1625,356,1951
779,352,1755,6855
661,1860,949,6355
128,283,1335,8683
637,481,877,744
512,614,617,7693
898,569,589,9712
628,421,835,5044
971,70,1591,1480
501,1124,767,7316
148,1706,376,9404
268,398,1796,4133
700,181,306,9195
652,1013,3,9812
104,847,803,9734
465,971,1633,4336
763,962,1544,6276
928,657,938,7436
901,1086,1656,8065
280,1997,771,3780
406,1278,428,2605
855,1051,681,4756
612,1651,1092,8370
793,1536,1190,6863
899,1808,367,3169
357,855,1954,5742
674,1781,1958,903
202,1469,293,2688
611,1155,432,8952
280,835,198,1189
915,1584,471,1892
256,381,990,890
93,1390,1191,6082
323,1834,1633,5040
790,688,379,2980
738,696,1390,5927
361,1562,1475,5300
661,477,1003,7742
350,706,1237,3824
61,1137,1016,6756
640,1659,816,7834
186,1492,1847,2051
579,1067,1438,877
914,1269,1972,3653
541,150,667,7242
896,916,1998,4621
303,36,332,4843
786,44,1425,9075
638,419,867,5452
435,18,364,6569
212,1784,427,3734
405,1530,545,4823
817,54,777,7635
961,1320,1996,9085
133,1913,393,8295
959,1467,1151,6448
916,391,1216,7001
992,1766,1101,10029
914,1748,48,5099
218,68,1081,4444
420,478,819,8516
318,1701,1194,4199
156,1507,1329,7848
187,1869,1015,9431
475,220,1578,4090
161,1401,1643,6966
128,261,1848,3285
303,1977,218,2408
88,126,79,5264
894,982,1395,1887
916,693,24,4012
161,631,1812,350
921,1733,1080,3819
35,1407,1888,5891
226,1410,1449,4475
150,744,551,5538
592,638,236,7638
46,1459,683,3457
715,1207,1974,9953
939,1394,372,1544
659,1622,200,2025
230,1345,274,6712
538,1926,1141,9794
700,41,314,6495
164,1040,282,681
723,574,573,5941
819,1552,836,4626
586,1396,757,6021
603,1104,1574,2875
573,428,1411,2881
65,1693,203,9359
919,284,1992,5711
79,1687,13,889
139,1961,1080,8407
399,1233,528,2708
931,1738,1634,8839
129,640,1358,9346
984,1288,270,5423
765,1723,418,7154
445,1234,1388,4003
831,1344,724,8839
28,640,1545,873
987,1850,1119,9871
201,891,853,1533
236,1965,1951,6536
598,529,678,1872
607,1105,427,7773
798,1502,1789,10234
338,931,1425,675
398,1978,510,3692
438,493,1223,774
288,546,593,2155
251,1755,157,7165
976,1491,959,1470
691,1227,193,5333
99,1173,1182,3985
915,403,892,9267
584,67,1486,2620
421,0,1158,10354
642,139,617,10341
693,177,809,5776
705,907,1894,4265
17,585,462,9584
470,121,16,10215
637,317,808,2918
722,502,118,2323
6,1521,1509,1305
418,1202,1917,9320
379,1806,1101,4546
507,1380,1439,2553
113,213,1877,2994
851,1602,508,6325
510,687,656,2327
595,1399,1857,2793
850,1254,599,4182
872,1669,1746,1975
975,1993,1928,4152
613,722,276,5428
468,1539,151,2645
92,258,323,1286
491,1191,687,4992
827,1502,1079,6868
101,1319,460,8828
492,845,1164,7552
762,1808,1443,10023
535,354,1872,8859
484,1612,179,747
988,1371,170,5450
478,1390,1130,7446
876,226,1467,2928
166,727,1604,5112
139,1574,1036,5964
93,692,492,6137
180,1143,969,4269
575,39,1909,932
3,172,1570,5508
605,516,729,5025
388,838,116,9330
271,1897,1139,3521
794,1735,542,7356
131,838,1089,2389
583,446,415,9685
815,737,1969,4625
903,395,710,1486
592,1580,394,4030
511,1942,1114,9279
685,1189,641,7042
811,1624,1358,10155
962,1884,1607,7108
986,1075,1312,5976
51,1262,132,1834
289,1189,1397,1382
445,1501,1778,4977
236,649,1614,5353
788,687,1323,8726
490,224,15,7236
279,162,1633,2412
43,349,1932,8752
881,1850,1860,9814
765,180,742,6885
936,1815,1212,3413
924,1337,492,5882
358,127,1542,6495
645,564,1210,3521
567,470,987,609
525,1934,223,6354
689,350,1170,4130
461,348,181,9056
100,178,1062,9618
691,1026,1015,7037
983,371,1546,7832
460,1465,1226,7146
768,20,1574,3418
267,1069,65,4612
882,1994,1134,1759
361,1728,446,2247
407,670,1435,1710
36,280,1066,1776
467,1986,702,1579
965,209,125,4841
715,959,969,6755
980,257,1953,8432
258,188,1438,6376
508,1099,675,8947
666,48,1518,7461
749,688,386,7793
308,1005,217,875
611,1369,1253,6569
272,1049,1607,9652
624,270,122,1977
109,1679,1444,5138
654,46,862,9826
678,207,1334,5643
259,1857,437,427
656,1113,1721,8368
741,1197,1240,3412
906,775,1632,1284
267,831,485,2199
31,370,1013,224
922,1471,247,9377
939,1081,1325,10602
810,1272,604,5426
730,1629,1689,5744
176,501,1615,8054
103,1388,885,1403
235,838,1430,3435
92,1116,847,3465
200,431,677,8965
810,372,224,10539
898,1272,510,2281
742,1996,1625,10314
924,1840,1962,4461
766,839,726,8690
596,553,1670,10311
34,872,282,5025
116,833,536,5318
687,922,1152,4619
457,1449,947,4079
470,1148,66,9557
934,313,1349,1398
984,825,505,8964
919,1025,203,2529
787,403,1126,9591
398,1235,576,1002
596,762,1920,8563
116,748,1501,736
361,1794,45,2963
203,1239,981,6676
145,1836,1945,3945
443,535,510,7541
726,1559,539,7264
616,15,1594,771
860,1230,911,9020
296,1802,704,6977
867,114,1603,3582
580,1506,396,4919
486,977,1505,8556
985,1001,177,7675
766,314,1062,1215
230,6,48,1299
202,1892,175,4219
361,1000,1918,3180
