db1.tbl5_dim1.col1,db1.tbl5_dim1.col2,db1.tbl5_dim1.col3
2,1506,1036
125,9534,993
247,1759,1176
4,1945,1392
14,5570,309
117,1556,1376
19,6776,165
749,1603,563
1,9914,725
336,2554,125
6,4521,1639
96,8768,1205
4,870,1691
778,1326,529
1,6588,1934
26,2792,733
512,9402,1210
19,4248,1490
303,6051,333
687,3607,1960
1,3964,462
22,5334,316
96,3728,371
285,8134,1867
2,5607,422
39,7866,832
2,3839,475
160,9535,691
5,9882,1835
4,9097,1744
179,4720,1708
307,536,1485
7,687,216
24,3773,1348
101,6757,904
149,8930,232
179,1181,512
10,2914,214
31,788,1600
1,773,1954
681,8428,1686
107,4574,676
9,7547,304
10,690,1303
1,7956,859
17,5589,598
87,5268,222
701,8966,827
72,8343,1343
73,9693,198
202,3234,406
26,9819,1480
1,9658,485
439,8318,1989
11,4020,700
892,4212,613
12,5987,142
84,2588,1871
18,3209,1733
3,7646,864
596,3473,521
61,5500,1405
16,4129,1572
2,6973,1257
994,5085,1127
456,6949,278
13,2061,1836
2,7464,45
1,3326,1023
2,4455,1807
31,823,303
252,2062,704
9,8352,105
14,907,131
19,2787,457
1,9893,1124
2,6942,248
24,4429,1336
5,1574,170
28,3251,1532
1,1342,535
229,4705,1161
198,2078,1080
85,4530,712
30,1031,1071
10,1831,1309
93,5565,1143
195,784,615
239,8907,1520
8,5029,1141
2,7477,1147
7,8782,1873
1,2711,820
13,5498,1269
4,8379,1996
208,7519,1908
88,9244,957
1,490,622
2,7166,1434
33,9560,936
57,4787,1739
177,1746,1035
789,7881,417
107,6259,279
33,4899,1233
12,9355,1417
141,5175,1880
614,8786,1051
13,2586,961
45,559,1646
3,8702,1659
344,3569,794
117,3610,451
8,313,1509
390,7377,1083
804,3192,1938
5,3663,790
2,1968,876
284,7209,881
44,6133,758
421,1792,1528
8,8024,1631
44,4050,1281
42,1610,1269
2,4612,1151
942,5055,417
81,6095,364
81,9738,1854
5,9827,1857
73,8224,1948
287,2633,598
248,2463,43
549,6377,1011
2,4495,1881
2,7346,1948
114,6659,1212
237,104,1666
87,6179,1525
2,627,438
48,6454,844
152,6906,934
2,9626,1467
1,3294,635
4,7522,586
1,5923,1574
2,7906,1977
3,6384,1666
30,3697,1961
2,379,756
52,3216,1885
5,4339,589
6,3921,3
784,69,1151
233,716,117
13,2966,699
16,3642,931
1,6951,327
312,1444,817
1,4870,1620
2,4784,971
31,8262,278
2,5687,271
64,9566,1292
1,6205,217
1,3326,1894
172,2387,1488
42,7006,1664
1,6105,978
3,3978,796
3,2352,1578
323,2667,191
44,7320,1566
32,5496,479
1,6428,1414
77,282,187
2,8854,475
28,8672,648
47,6763,46
306,7076,1307
235,5326,878
2,8741,702
534,8835,1215
1,9180,1960
7,7232,781
1,364,112
124,7386,1367
24,3688,98
2,6551,238
1,4066,1348
3,5178,1707
553,3980,121
90,2313,562
3,9542,1952
452,9362,1912
2,6512,1109
97,591,404
14,5959,111
4,7148,1314
4,7305,1905
24,8876,643
599,131,1830
145,3744,1448
80,6966,481
394,1973,361
40,6578,1769
2,2155,1093
843,2074,954
31,4009,1934
6,2687,1609
190,6522,623
18,7816,1059
1,7192,343
6,8461,617
17,2379,574
9,7398,1579
35,3260,1511
2,4843,153
41,5262,286
904,3118,1776
158,8435,704
94,4869,1657
3,5871,156
44,5272,428
259,4637,851
3,2067,1842
1,6078,616
80,3551,1623
87,3248,1711
231,8413,836
63,7726,733
321,7761,968
4,583,761
1,7910,780
135,4421,1677
10,6779,1442
3,1441,1216
1,4119,503
160,2427,1301
273,9826,817
10,8381,1891
423,7812,1445
13,642,380
696,4794,638
882,4937,1303
255,4124,736
4,6817,1091
9,7447,221
30,3668,303
7,6007,1986
258,2847,263
582,3630,741
900,3455,455
7,1019,1844
4,8749,327
2,7775,1965
1,9007,735
2,9021,1558
5,5298,1927
10,8739,565
1,3493,819
261,9272,417
58,1595,1428
38,1945,1719
33,1556,1987
5,8880,153
627,2959,1782
3,8766,228
84,5225,1931
4,911,1511
926,9208,914
516,5291,853
4,8987,179
911,1334,1758
61,2796,351
131,4263,988
5,6137,943
3,7892,693
346,9216,1022
4,163,1878
540,2683,1650
9,5182,357
1,3839,1401
47,3178,1633
8,9360,1107
836,4496,1692
10,3820,356
6,8550,595
39,9448,1129
132,679,952
779,446,1124
1,1641,1171
13,6160,86
81,8246,92
1,7934,1446
22,4845,607
235,3983,982
1,8210,408
7,772,1924
11,6693,1762
120,9512,1176
5,1599,410
4,7236,1106
1,7569,1495
970,3554,34
19,6832,907
1,19,810
1,309,1781
1,2855,1554
3,6076,585
143,7260,82
37,5581,874
188,3491,1320
1,4425,1365
4,1361,1888
12,9634,18
14,783,813
1,7015,189
26,1099,1013
5,984,1804
2,8986,1877
85,2225,66
1,9974,131
370,772,604
473,7313,1676
6,8781,1759
907,714,1051
11,9297,1693
755,3179,1399
907,2697,1436
274,7263,341
1,3171,1716
45,5002,1284
134,48,1381
1,8591,375
451,1282,63
330,6458,864
610,4262,39
26,3587,1490
6,5112,1607
25,8673,540
132,4977,961
13,5592,830
8,4795,1509
1,237,136
16,3773,1454
11,817,432
80,1984,445
15,8724,1994
1,3925,524
21,8877,1127
184,2705,1388
664,8770,357
2,3990,548
13,2482,1881
319,3199,1143
1,6135,1927
8,4523,1830
47,5521,1745
7,5268,1302
22,6565,1962
634,3663,18
1,2330,129
1,8512,1220
2,7583,986
10,2974,816
19,7590,552
1,3708,1779
415,1520,1209
164,3170,399
4,7540,405
4,9368,979
1,3997,162
11,5991,130
4,8152,1007
58,5733,903
34,9286,364
726,4608,1457
216,7018,931
1,415,588
109,3476,44
1,5550,1745
6,8809,368
36,8124,494
23,470,297
101,809,230
241,6629,447
279,3570,367
1,6476,987
68,4241,702
749,206,37
160,5002,1675
28,6234,1516
990,170,451
1,5358,756
1,1424,1850
176,420,203
34,397,1138
1,7432,1620
9,5353,1788
1,2357,1209
29,5765,1137
1,8496,281
1,3834,605
6,8472,365
3,4297,109
8,4587,1586
8,1995,1601
63,1742,323
91,4394,1822
1,8640,263
22,6341,1776
436,1914,424
2,2780,921
781,8013,794
1,6205,451
1,9043,821
2,72,707
19,452,657
5,3865,1723
13,9855,1409
642,8391,1295
7,6968,651
321,4379,142
1,6120,1367
245,9367,1636
479,3112,1108
5,4154,806
34,2596,890
2,8906,1730
1,6528,970
179,2159,1757
63,9648,926
157,8088,1701
15,1749,1989
4,7464,1133
14,6429,341
1,2349,678
5,3949,874
5,2594,384
118,3162,1964
1,7695,975
4,582,1675
4,6994,1847
35,9287,1696
3,2402,1242
1,641,1718
4,6326,1494
13,110,1947
29,3458,1593
1,6308,1911
6,9756,1384
171,7383,1342
49,9787,1317
17,7212,1797
17,5260,307
9,2461,866
7,9183,35
11,9023,1314
376,7024,940
19,1783,1512
84,8162,1408
237,6993,1990
14,8724,867
300,9887,24
947,5973,983
24,2272,117
11,1527,458
234,9175,1675
72,3627,457
55,5483,1614
427,808,575
73,710,402
68,3087,1824
3,8538,1388
97,5588,1283
522,6637,611
42,926,1540
485,2909,678
7,6221,518
1,1470,156
16,9193,140
1,4369,1950
2,6039,1623
2,1049,1465
31,4853,1784
688,7481,1707
1,3541,1797
3,5475,640
796,7958,1067
413,5841,342
291,2564,1354
1,2106,507
70,2220,1193
3,3302,519
73,2194,252
14,5557,802
65,4950,1146
14,9021,220
501,5689,1713
1,3407,170
2,7065,13
287,5178,1436
139,9484,712
2,32,1756
1,6554,300
6,2479,1962
21,1962,235
1,5721,1241
315,4318,742
28,6195,1115
548,4905,1449
6,8897,1966
1,5985,1761
382,4991,1415
2,2507,629
7,6741,624
18,3112,365
22,3026,1844
1,5285,455
29,6482,1586
1,1429,934
6,4136,1336
833,9246,1336
5,4393,85
247,6991,1289
26,7907,1721
3,6876,1150
125,9476,1429
36,1948,355
30,606,1245
1,6576,1918
7,9529,235
137,2937,1518
217,2779,68
250,5648,266
1,4960,1880
2,7076,1635
898,1935,505
2,2707,324
3,730,589
228,9182,753
11,6295,1445
1,463,1239
1,11,304
1,6571,806
2,6997,1635
23,7040,1191
1,4135,1708
1,8783,756
499,9681,1908
397,5081,415
287,3224,1708
111,941,364
79,3364,1693
4,6660,384
7,4801,1392
3,614,146
863,5003,1706
65,5785,451
774,3954,1887
4,2612,1578
59,8902,1435
165,7894,1153
1,1807,1188
83,1654,449
2,1469,68
7,289,1685
120,6993,1921
15,1405,973
555,2444,900
3,2046,760
2,4383,958
7,2594,1744
330,5734,1855
319,4034,1525
9,7547,98
241,7199,390
1,4394,373
1,9486,1773
364,2748,1932
390,5599,130
2,5345,827
5,3511,1100
327,1059,738
1,4741,652
359,947,657
41,8935,678
77,1396,44
48,4442,116
44,9560,1044
2,2244,1499
3,1655,1133
43,3921,997
11,2576,481
32,2677,1100
4,2452,691
18,5492,1491
2,107,1705
1,6588,930
694,1321,1118
126,1409,887
23,3460,144
35,5430,770
26,8160,1326
469,6856,80
184,1218,282
6,5870,708
3,6808,1981
1,8255,1254
2,2318,5
22,4021,1760
3,9388,1090
6,1707,585
1,1153,735
561,4982,694
1,2401,1956
8,8832,131
4,6795,348
1,8953,1409
586,7247,1624
6,1244,315
24,3159,997
44,6985,1155
54,2452,1086
18,4213,1932
48,2550,1259
156,7825,122
699,8127,729
77,9807,1661
18,6318,827
16,7274,747
114,9313,255
61,6622,1412
13,3920,1919
7,8740,1171
950,9829,1781
175,2609,505
3,1446,233
5,3800,1877
451,9541,1220
79,4977,1659
6,9685,13
9,7523,1587
10,2057,1325
2,3053,1665
26,8897,461
173,2334,622
38,9143,1611
76,1826,681
48,2388,1180
1,4975,1895
2,6963,173
8,186,1573
437,1255,1789
8,3609,436
6,5259,10
1,882,1433
812,776,1024
191,7963,87
173,4286,1155
10,1608,1351
1,8545,288
4,1097,1857
333,7030,1539
2,4118,1690
453,713,1128
31,8223,76
118,3362,1524
17,2884,706
603,1461,411
3,4150,1554
41,4467,52
1,3654,671
20,97,82
816,9077,224
1,8722,1451
25,3720,834
51,8032,759
600,6462,1175
5,7219,356
24,6431,673
909,4746,570
178,3668,114
242,5411,473
194,413,1644
27,8113,330
14,9247,982
4,9064,907
18,7138,1797
1,1506,523
1,96,505
5,225,1421
7,9765,1584
112,4831,851
2,7452,1118
217,1702,1547
225,3820,1186
45,8330,905
22,2376,744
19,4691,1203
13,4636,960
1,3781,65
76,2682,1172
42,9730,1290
1,6226,65
3,9058,1851
15,8590,244
478,8184,1071
930,4810,1790
156,2406,350
153,181,1284
13,5635,964
40,9352,1189
3,5385,47
141,203,1751
1,4880,1840
13,5602,1976
283,6431,1136
860,1121,1738
103,3959,954
2,94,10
40,5415,1964
37,9232,1470
774,474,1582
302,7104,513
1,5580,386
3,211,1353
306,6703,1703
814,2491,481
5,8291,456
99,8213,1844
6,7349,546
1,5967,44
279,6838,496
142,561,958
1,7568,407
2,3344,17
997,108,634
73,4932,1100
225,5797,1544
10,2072,1604
27,2824,1546
58,1772,1573
234,2501,476
7,9835,1778
86,2163,233
187,6538,1954
233,952,1303
24,2668,907
19,9801,850
1,2644,509
23,3174,1710
107,5840,842
552,4342,1450
1,811,1629
793,1011,992
3,5827,558
2,7514,667
1,8190,1892
929,1851,722
37,1142,1136
4,8899,1666
6,4031,1591
690,7542,537
473,4077,1232
8,4295,1206
1,767,399
288,7073,1413
527,1101,1459
297,9663,338
522,3498,456
42,9887,644
301,6652,1613
657,1473,842
439,7281,1651
46,5356,1093
150,6007,35
124,9382,469
229,4394,1921
3,167,1862
1,4937,290
26,3526,1906
173,4600,645
1,5737,1911
30,2807,1578
6,4553,40
298,859,1314
1,9117,763
320,4804,1622
54,9881,137
547,2233,1497
618,8610,628
239,8907,1169
30,2825,1533
2,8315,1630
3,3309,858
13,6131,218
132,6748,1914
33,9643,1915
15,8253,42
20,5829,257
144,2960,1155
1,4188,1624
15,9090,1013
41,970,1286
46,2579,529
58,5952,1524
1,5114,1048
37,788,182
35,6970,1104
338,9212,1472
166,6971,620
1,1654,1332
36,1261,1307
99,3363,1427
43,5481,1207
89,4388,1232
1,8952,81
2,3126,922
44,6672,22
225,4146,1497
1,6333,1455
15,6826,1598
943,3249,150
173,6864,201
16,5376,1622
1,2238,548
8,5968,997
2,1484,1967
553,5129,70
95,7024,597
340,9204,1833
464,7191,1946
53,297,1498
1,5076,1105
36,1776,1292
228,11,179
6,7169,471
583,3214,1068
977,5243,1989
34,4540,1381
30,9092,974
76,5359,809
39,6299,1031
2,9223,405
4,7640,1495
3,9673,411
1,7617,727
2,9954,235
813,6760,45
36,8807,751
1,7107,1632
117,9402,1268
20,4784,88
3,3994,325
656,8488,995
3,6661,1231
1,522,1402
3,5342,401
517,7753,339
345,8878,828
454,3616,377
534,1621,1685
1,6002,264
115,505,1778
81,7450,1605
949,8087,1988
118,3465,1996
211,6199,1959
118,4744,1249
58,7148,1952
35,8820,614
795,7224,1836
621,9143,935
15,2803,1215
5,9966,841
25,9003,1876
150,8248,1279
11,8082,505
31,3871,1903
5,2537,709
14,6756,1730
727,8179,887
3,147,761
920,4291,327
3,2337,345
6,458,306
1,8387,905
156,8487,1402
1,6754,1563
204,2098,1356
42,7438,1308
153,5724,805
197,158,766
1,6811,1867
1,2626,1796
2,101,797
10,9511,9
1,5546,1659
17,6975,93
5,871,1186
9,6199,241
640,1698,1968
127,697,1312
77,2416,202
75,5293,416
36,1617,945
26,7063,904
414,3103,1153
1,9609,833
5,5529,414
1,4357,247
1,668,525
1,7797,224
1,7687,720
92,5994,915
1,9080,447
3,5546,1352
13,2873,1963
4,3814,302
254,3708,1211
60,8409,1808
7,4626,886
6,2165,479
94,2989,1061
2,8000,745
5,290,1811
8,5245,400
17,163,908
2,4990,1569
2,7631,468
928,1564,1193
522,12,1409
28,4291,1648
173,1290,353
87,868,1918
1,1799,693
27,5803,853
2,6420,1358
44,753,967
1,5614,1584
2,3317,1871
195,2413,111
309,5043,25
500,5068,1089
462,3838,612
499,9064,1024
1,6761,1685
78,3068,726
107,7411,13
4,2148,530
949,9158,1173
5,9975,1356
42,2012,382
385,6209,1289
5,8753,1680
53,9283,404
123,996,1446
61,5467,1934
12,5190,726
662,3486,1451
55,8101,1823
3,1478,712
234,8401,469
76,3887,937
1,9182,149
4,4477,1951
2,7251,1279
1,7625,1086
3,1659,224
4,9454,1477
18,8538,1313
795,4462,1339
654,4453,1503
158,7331,1583
71,1770,1541
674,4674,1010
2,3179,73
7,8555,663
35,1289,57
249,2516,1440
60,2737,1630
239,268,1166
2,6379,1075
2,5949,739
143,9840,1447
8,5927,1441
15,6359,1105
210,4552,188
1,5398,827
2,2650,825
5,2387,1185
418,719,1659
12,1189,694
4,5161,1120
90,5333,1974
1,2163,1427
186,5581,1485
104,3207,488
1,1369,1403
23,6177,440
12,515,996
2,2793,720
2,5028,464
2,5109,1222
50,8872,1479
2,4596,544
1,9714,1144
728,5399,1750
1,3522,1303
81,8494,1632
620,2887,553
1,1301,757
774,2657,1419
24,1475,427
200,6399,979
60,9881,1627
57,5967,525
206,2155,829
1,3173,833
11,4721,866
797,9584,1519
1,9920,1514
4,4052,353
86,8754,978
1,7197,402
31,357,1547
117,5215,1719
163,9786,1009
37,7310,1340
24,7147,272
118,9279,246
2,4865,1182
92,6283,294
547,9391,1066
93,1516,1664
1,5302,1126
25,2678,249
129,2786,955
1,497,237
169,7297,1961
5,5642,536
46,1677,1869
778,669,1142
963,1647,171
65,5381,1944
22,3163,1557
2,5799,475
3,4532,1976
14,2779,1145
108,9305,1245
178,6439,1521
3,3114,759
31,3615,1184
47,9686,574
449,75,1408
397,388,211
255,5849,1147
27,1506,1319
1,976,524
7,3610,1902
59,840,1085
66,9387,758
323,6566,1309
10,5653,848
623,6430,1976
2,6899,1059
1,7206,1344
2,4221,1576
18,4140,1279
266,9964,1480
2,3887,714
34,4003,1880
188,666,267
1,6328,75
1,4072,1199
22,9599,1980
2,9515,1
16,403,572
1,6806,1157
841,4537,534
75,6818,1051
96,4658,1088
25,2357,1322
270,9052,22
288,3629,127
2,7602,34
177,9596,736
39,136,1105
169,362,195
544,3343,1532
7,2954,1416
40,8411,870
204,6610,870
906,9620,1689
55,62,1042
124,2022,1565
317,5217,524
155,1006,120
650,3508,1505
3,1438,8
502,7297,860
3,817,1131
39,577,526
28,6903,1971
283,3963,260
11,8541,1239
2,6309,1136
111,9395,46
53,4150,488
274,319,1121
164,4526,1834
455,7346,1181
300,7764,1407
95,957,64
18,6635,1706
1,1750,960
6,2060,1273
130,5608,116
1,8103,485
162,7829,783
27,3756,619
372,5086,1380
78,6358,413
221,9237,1484
2,4969,242
2,8660,251
3,743,1686
7,445,1633
489,4816,918
185,2259,1855
9,9465,1466
544,8299,1869
191,8863,1041
76,6661,1373
15,3537,397
74,2753,660
48,9893,1919
195,3678,86
3,2016,442
425,5868,1629
47,5149,1501
236,3190,611
8,4229,314
11,158,816
626,5739,868
59,7826,1133
6,7589,1343
1,1803,1369
14,5380,947
323,2929,1668
4,7832,60
352,7010,484
2,136,1437
1,4312,559
52,6608,445
232,5766,949
193,1877,1162
33,7663,1156
67,1042,1630
4,5324,1934
35,1903,1481
3,1537,224
585,1529,1755
90,3661,1870
38,6648,1828
4,4270,1613
12,8309,1650
193,5126,571
3,4372,590
1,3140,96
6,5928,1839
215,8083,42
417,9707,318
12,9341,487
195,812,258
7,8501,1778
25,4820,1662
1,5638,1252
116,3837,244
122,1427,521
1,7454,118
8,199,1601
21,2229,570
184,8132,1215
267,8384,1153
122,4227,260
3,767,1547
8,1433,1176
4,7582,767
66,164,685
71,7081,1952
1,2809,996
134,9906,100
3,2162,1396
226,9744,197
286,3676,331
219,9164,119
12,1992,849
8,9886,1734
15,828,692
29,6505,1835
4,230,874
600,774,1289
24,8709,1421
1,4170,1702
980,3102,337
21,3339,1688
673,6787,1312
10,3500,330
3,9782,1474
140,3713,1344
14,9229,568
412,6719,1123
18,3952,1686
7,9528,661
780,3942,288
281,3998,1957
3,5740,716
22,6569,1974
1,1478,1014
1,1612,104
334,8144,1946
601,6774,1503
142,5718,481
923,4620,1856
1,2866,299
7,9489,1814
1,5352,1457
196,1696,1064
441,4269,1389
16,6053,1887
279,8899,1266
320,1817,730
2,7251,1888
9,9259,1391
2,3381,315
85,8421,1471
10,1669,1952
83,8624,980
395,936,1839
12,2046,1354
811,1816,910
12,838,727
3,908,1430
30,4736,1677
11,5892,1916
1,8816,70
1,6827,757
147,7860,838
605,9925,385
15,1421,293
1,8450,1109
144,8556,593
370,7261,1025
6,5588,1449
3,345,915
7,676,708
504,7690,992
13,3463,547
75,6706,814
1,4182,793
5,6190,1327
3,4344,578
1,7573,839
1,5233,1265
13,9182,547
37,1440,681
6,3043,1633
13,8206,1828
165,1322,1743
4,7581,574
1,4861,1375
4,5408,1138
556,11,1528
1,4252,1756
1,4549,1749
1,1792,301
9,8931,1474
72,4148,1702
511,7849,1299
214,5299,886
4,9863,937
65,9179,794
81,7791,1871
1,6201,1800
14,8155,1252
6,7126,1358
2,8203,1891
1,1500,12
1,4817,1646
348,2867,1193
7,2389,125
23,4914,147
5,8448,994
2,3244,1030
4,8719,801
2,7790,156
163,7682,986
501,7064,1096
15,3766,1498
266,5923,735
14,341,718
16,9981,1779
21,7802,1028
261,7011,933
621,1011,1232
148,9754,1976
434,8484,1478
69,2880,1722
300,555,345
36,2728,209
183,9110,726
110,8397,1264
153,8271,864
3,528,590
2,6617,303
75,3843,110
21,9115,259
172,6241,560
2,1960,52
676,7782,1664
109,7684,759
1,614,1879
42,248,1091
6,6773,1131
4,7614,1174
481,3667,1498
293,1216,1916
1,5131,1162
2,1187,679
123,4513,630
321,1016,993
121,5505,293
29,33,39
891,4173,711
219,5569,1642
19,874,1145
44,2269,798
1,5293,843
768,6230,343
8,300,1948
79,5928,1026
83,5762,1278
1,8628,1245
4,7185,274
76,8191,1767
518,2098,760
191,9072,687
43,8069,1268
3,9140,670
682,6576,21
12,8973,568
2,4023,1838
1,9378,1190
689,4919,1484
190,4098,1933
3,9046,4
2,9062,1559
739,9049,737
3,4008,895
18,1639,12
54,5564,1488
1,4370,338
7,8147,112
656,5965,782
106,8793,1053
9,9424,1411
210,1133,1678
296,2810,470
2,8767,1250
45,6877,1214
9,3772,307
25,686,423
19,5136,1119
24,2262,1969
28,684,1268
1,4748,1419
2,5440,1655
39,7836,182
620,2844,139
150,6759,1544
3,4964,234
8,4006,1671
7,9978,667
178,6815,618
813,4172,628
8,9675,212
1,4484,1244
624,8043,1312
158,8537,178
290,5484,335
3,5396,1487
71,5576,1580
3,7462,1231
1,6473,1526
2,9624,1024
561,7153,1471
3,3117,1846
45,8009,23
787,1730,1179
1,3509,1896
238,1904,120
49,3521,899
6,5384,1054
9,9688,706
1,3106,128
4,5258,435
13,9069,506
120,385,651
4,7671,1351
43,5687,525
134,3423,391
105,8271,1136
47,4547,605
43,787,821
124,3371,717
7,3623,1057
16,231,1958
777,4507,1642
84,4502,1269
28,4913,927
43,5434,1104
1,5327,190
47,3624,1635
294,7786,1058
28,5903,41
2,7456,1006
16,3423,565
4,56,1319
8,6097,597
3,5172,779
7,3021,1368
263,998,1319
163,3301,1392
22,2768,839
196,8476,1463
833,5880,23
12,1432,1081
861,8574,188
4,3756,1947
712,6103,1074
363,8498,487
2,7125,166
8,641,100
112,5868,524
2,7624,1169
47,9473,80
31,143,1149
5,4298,1162
5,7169,1705
27,3022,71
5,5613,641
2,1844,537
183,8938,292
44,553,1551
15,5951,1044
2,942,1418
48,277,53
62,6895,1849
20,8563,175
9,8095,806
370,4562,67
110,8803,453
8,68,1531
48,3321,1851
3,1794,1949
1,2915,723
375,338,1059
258,9666,132
67,7259,1426
244,6969,254
194,5736,1523
351,4935,531
445,766,26
258,8809,378
330,7394,392
24,8761,380
112,2174,1735
7,2152,507
354,2720,1179
347,1747,616
1,6468,1825
8,2387,1028
2,1205,940
2,588,930
13,907,1666
61,4614,1622
7,1702,112
6,3895,1368
1,794,263
10,9442,383
19,9325,1414
11,9331,1753
91,9814,1534
5,3590,1765
119,6623,1765
416,2827,1081
47,6008,1226
10,8451,1977
2,4849,1871
603,7785,1159
156,3699,1906
4,9650,1565
2,4454,459
1,9464,724
2,9937,486
135,4638,997
62,9778,640
784,8415,190
6,2208,340
203,5240,1754
1,7168,1363
38,1363,650
18,3849,1051
298,8049,672
107,3494,181
2,3475,1959
887,8996,725
266,4875,68
8,4596,1517
272,6735,1180
725,4056,286
440,8383,1294
36,3669,1288
42,7804,300
1,3658,1925
2,499,1025
878,9568,1148
179,9265,1905
1,4275,1802
34,8882,1737
7,3608,430
6,3349,1502
36,6554,743
6,5827,1250
4,7629,1134
628,578,1953
1,64,1988
15,8557,963
26,9696,884
15,6561,495
77,3616,385
1,3516,1566
423,7555,1896
24,8042,1469
35,3697,1793
18,1213,882
16,6398,1746
2,1544,897
24,7922,1977
13,5631,907
19,2787,1522
1,3070,1088
1,2841,94
170,6366,1826
13,4512,1573
146,6048,148
2,9497,365
105,5658,275
5,7176,1261
110,8389,1343
1,4075,803
7,6083,1132
1,9703,1542
63,7904,1011
11,7366,1208
1,1271,1016
29,4872,1951
1,3259,244
257,8325,1138
631,4941,458
241,7565,55
696,3190,49
463,3630,1959
456,3204,881
4,9248,1669
3,5710,1405
240,883,684
22,4916,1680
650,2233,695
464,3006,1614
450,1208,610
6,1918,26
1,2780,982
90,3043,965
15,3551,1891
610,1486,1946
335,4495,1201
587,1063,359
39,4642,1564
29,8934,656
318,7851,121
26,6395,1908
473,1453,475
1,1377,867
8,383,90
291,67,45
3,6846,1730
11,3904,1002
1,4851,1458
5,1436,293
6,1654,256
135,6825,351
89,5490,1721
16,8791,1298
131,9825,1057
14,9652,1908
15,9998,1268
70,8253,322
126,6194,484
318,3597,1052
156,5316,317
85,7538,397
38,9491,1941
6,2264,380
4,5412,339
309,6680,287
121,174,716
82,3855,569
4,1454,642
798,608,847
1,8162,503
298,7058,1171
3,8147,995
11,9970,1000
14,7887,823
80,5782,846
34,2841,1071
2,2840,975
1,7046,507
120,1418,1961
25,3109,199
8,8722,156
5,8680,1143
266,1321,1830
217,4425,1931
272,97,1791
3,9710,1251
330,5137,185
898,5667,1784
50,6480,1532
1,8616,1877
108,1852,266
32,8623,1944
116,1918,1324
2,2758,653
52,3565,97
32,1468,1343
51,5871,1279
130,4107,615
33,9033,1477
6,4635,1927
6,1635,1597
102,126,1166
81,6266,531
13,352,1271
8,8560,1278
58,8584,900
6,450,333
760,7173,965
49,3069,1005
47,236,1527
2,7657,1151
54,6347,1603
5,6864,1203
17,7961,905
32,4458,931
20,793,517
240,2379,193
1,6718,1317
2,5857,444
2,4353,1086
254,2424,1606
1,6772,1356
808,2377,63
794,5403,931
941,4817,161
859,578,1804
2,5320,299
77,9724,1139
11,3213,1737
134,4139,1585
12,3733,1312
10,2771,746
487,6562,827
23,4894,684
143,3154,1259
73,5752,799
77,9124,1710
8,4871,119
4,2093,540
424,8818,800
1,1870,1470
2,1991,38
1,4282,1142
685,2680,947
1,8492,135
1,235,168
3,8079,1823
5,1105,1683
37,6440,1766
748,758,1438
18,4973,260
5,3244,1649
254,8965,853
10,5985,1891
2,380,1935
215,7877,1192
1,3906,665
3,9079,1601
65,2421,453
1,7276,1319
4,1017,1405
11,1340,1246
11,3502,1471
816,9877,336
88,8411,1922
1,9714,795
3,6393,1307
57,829,54
117,8018,1025
10,3578,202
342,2659,258
655,669,668
56,8028,1438
38,4806,1399
155,6817,115
196,9151,1279
3,3058,187
21,9946,479
16,6434,728
646,1143,1649
1,8241,96
655,6294,1957
41,3736,1740
5,312,1814
376,8187,235
1,9857,1595
6,4298,354
157,7542,1251
275,8977,1433
2,462,1253
647,2453,1180
1,1030,1726
14,6987,1779
1,6183,1757
1,660,1191
525,6996,1
488,3797,1865
56,7798,1530
777,5161,1322
22,1626,1429
197,3305,674
1,3110,1042
11,5404,1776
27,1275,1529
190,6922,819
7,5812,803
864,7239,178
137,215,1551
30,4978,557
7,6396,353
69,3122,891
87,5871,851
91,3803,1008
45,8102,1007
11,8082,90
254,4451,111
4,6128,373
61,689,377
19,7185,1877
449,1399,556
47,9814,494
340,1910,685
705,1845,35
1,2044,1181
36,4958,32
420,3778,1901
384,4741,1706
2,4994,1660
21,4798,692
3,9093,414
462,1727,1048
1,2011,1457
3,2271,1565
12,3402,308
3,2163,1575
821,6349,1605
3,2489,747
8,5987,1731
2,2028,1383
578,4863,1726
12,6532,1870
4,958,1828
4,4935,1641
45,9109,1860
846,4781,1424
825,3948,616
872,8674,806
10,6806,265
527,262,1864
16,6739,343
26,3968,1553
28,5019,1724
1,1930,489
2,9399,661
427,8866,1758
461,2499,6
3,5683,801
5,1134,129
280,80,505
3,5543,641
410,7685,306
266,4922,1620
237,6033,408
445,4503,776
429,7273,1387
538,2110,363
406,6151,1084
53,6269,1707
2,5652,237
54,5488,457
649,5881,1754
785,6962,1610
131,259,1362
101,3958,662
631,5739,971
5,4343,565
2,4654,280
5,5969,1556
683,7027,1214
3,3508,874
3,7805,331
2,1084,1796
21,8131,550
218,8624,1360
10,9432,257
1,9825,1814
143,811,522
54,6282,392
20,8032,838
765,1026,1888
19,8143,1351
135,9712,209
2,3298,758
13,7407,890
3,8366,906
8,5493,977
20,4695,227
2,9738,1045
229,7270,691
9,2565,1288
461,8794,1398
88,1104,307
2,1657,1230
69,407,1676
1,9105,1304
237,3356,1599
825,2868,1673
90,8762,1020
577,6638,4
5,8783,486
13,2817,1178
13,2705,368
1,4559,1446
218,6446,1223
23,3590,949
22,2455,1851
84,1630,1354
2,2168,1698
242,7677,1206
9,2749,338
1,1217,1563
2,3097,1845
4,9744,1844
2,922,296
3,517,1052
970,3952,1225
31,2830,988
51,2505,47
2,1486,1439
1,6783,570
